"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
218;"DBX586";"cartas_100M";-51.261222214;-3.806512041;"1511-VR-L-031";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"100";"< 1";"ND";"ND";"50";"100";"50";"ND";"1500";"ND";"< 10";"70";"ND";"ND";"20";"ND";"ND";"200";"ND";"20";"ND";"150";;;"0,3";"10";"0,3";"> 1"
219;"DBX587";"cartas_100M";-51.260322666;-3.810131029;"1511-VR-L-032";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"70";"ND";"ND";"ND";"50";"150";"70";"ND";"2000";"ND";"< 10";"70";"< 10";"ND";"30";"ND";"ND";"500";"ND";"10";"ND";"100";;;"< 0,05";"15";"0,03";"1"
220;"DBX588";"cartas_100M";-51.259422839;-3.812845338;"1511-VR-L-033";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"ND";"ND";"ND";"50";"200";"70";"ND";"1500";"ND";"< 10";"200";"ND";"ND";"30";"ND";"ND";"500";"ND";"30";"ND";"100";;;"0,15";"15";"0,15";"0,7"
221;"DBX589";"cartas_100M";-51.258523008;-3.815559646;"1511-VR-L-034";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"100";"ND";"ND";"ND";"30";"150";"100";"ND";"2000";"ND";"< 10";"150";"< 10";"ND";"30";"ND";"ND";"500";"ND";"50";"ND";"100";;;"0,2";"15";"0,1";"> 1"
222;"DBX590";"cartas_100M";-51.258523819;-3.818273682;"1511-VR-L-035";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"ND";"ND";"ND";"70";"200";"100";"ND";"5000";"ND";"< 10";"150";"< 10";"ND";"20";"ND";"ND";"200";"ND";"20";"ND";"100";;;"0,2";"10";"7,0000000000000007E-2";"> 1"
223;"DBX591";"cartas_100M";-51.257623711;-3.820083311;"1511-VR-L-036";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"20";"< 1";"ND";"ND";"15";"200";"70";"ND";"500";"ND";"< 10";"150";"< 10";"ND";"30";"10";"ND";"300";"ND";"10";"ND";"70";;;"0,05";"15";"0,05";"1"
224;"DBX592";"cartas_100M";-51.256723598;-3.821892939;"1511-VR-L-037";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"< 1";"ND";"ND";"30";"100";"100";"20";"1500";"ND";"< 10";"150";"< 10";"ND";"30";"ND";"ND";"500";"ND";"50";"ND";"70";;;"0,7";"10";"7,0000000000000007E-2";"1"
225;"DBX593";"cartas_100M";-51.255823214;-3.822797888;"1511-VR-L-038";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"100";"ND";"ND";"ND";"50";"200";"100";"< 20";"2000";"ND";"< 10";"200";"< 10";"ND";"30";"ND";"ND";"300";"ND";"30";"ND";"50";;;"0,5";"15";"0,15";"0,7"
226;"DBX594";"cartas_100M";-51.256724406;-3.824606976;"1511-VR-L-039";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"ND";"30";"< 1";"ND";"ND";"50";"200";"150";"ND";"1500";"ND";"< 10";"150";"ND";"ND";"20";"ND";"ND";"100";"ND";"10";"ND";"20";;;"0,5";"15";"0,3";"0,3"
227;"DBX595";"cartas_100M";-51.257625601;-3.826416062;"1511-VR-L-040";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"< 1";"ND";"ND";"50";"200";"100";"< 20";"1000";"ND";"< 10";"150";"10";"ND";"30";"ND";"ND";"200";"ND";"30";"ND";"70";;;"0,5";"10";"0,15";"0,5"
