"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
31;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"200";"< 1";"ND";"ND";"7";"70";"5";;"70";"> 5000";"ND";"< 10";"ND";"70";"ND";"> 100";"30";"ND";;"100";"ND";"700";"ND";"> 1000";"0,05";"5";"< 0,02";"> 1"
32;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;
33;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
34;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"< 5";;;;;;;"45";;;;;;;;;"5";;;;;
35;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;;;;;;
36;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;"120";;;;;;;;;;;;;;;;;;;;
37;"DAG860A";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;
38;"DAG834";"cartas_100M";-51.989829287;-3.302469981;"1521-DM-B-189";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;"DAG835";"cartas_100M";-52.003439367;-3.267547361;"1521-DM-B-192";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;"DAG836";"cartas_100M";-52.106141045;-3.185992617;"1521-DM-B-195";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;"DAG837";"cartas_100M";-52.161709272;-3.195833294;"1521-DM-B-197";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;"DAG838";"cartas_100M";-52.248839182;-3.363884236;"1521-DM-B-198";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;"DAG646";"cartas_100M";-51.683902487;-3.173648844;"1521-DM-B-204";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;"DAG839";"cartas_100M";-51.728406514;-3.25798229;"1521-DM-B-208";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;"DAG840";"cartas_100M";-51.743650987;-3.296063532;"1521-DM-B-210";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;"DAG841";"cartas_100M";-51.788673922;-3.323167004;"1521-DM-B-212";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;"DAG842";"cartas_100M";-51.814776751;-3.472244751;"1521-DM-B-219";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;"DAG843";"cartas_100M";-51.782632801;-3.448131895;"1521-DM-B-222";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;"DAG844";"cartas_100M";-51.864226926;-3.526117455;"1521-DM-B-226";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;"DAG845";"cartas_100M";-51.949686352;-3.34954988;"1521-DM-B-229";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;"DAG846";"cartas_100M";-52.283409796;-3.393528872;"1521-DM-B-233";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;"DAG847";"cartas_100M";-52.34018001;-3.455479619;"1521-DM-B-235";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;"DAG848";"cartas_100M";-52.371109841;-3.489041524;"1521-DM-B-237";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;"DAJ045";;-54.631320922;-3.832798279;"1521-DM-B-350";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;
56;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;;;
57;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"< 0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"0,5";;;"15";;;;;;;"5";;;;;;;;;"55";;;;;
59;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;;;;;;
60;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;"120";;;;;;;;;;;;;;;;;;;;
61;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;
62;"DAG507";;-55.557821741;-4.079844974;"1521-ES-B-076";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"70";"200";"< 1";"ND";"ND";"10";"50";"20";;"20";"150";"ND";"10";"15";"10";"ND";"5";"ND";"ND";;"70";"ND";"30";"ND";"1000";"0,15";"1,5";"0,1";"0,5"
63;"DAJ096";;-53.143931332;-3.589967481;"1521-ES-B-342";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;"DAJ097";;-53.144886942;-3.599527797;"1521-ES-B-343";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;"DAJ098";;-53.093446066;-3.612687135;"1521-ES-B-347";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;"DAJ099";;-53.088046444;-3.62011661;"1521-ES-B-348";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;"DAJ100";;-53.053706381;-3.520055351;"1521-ES-B-356";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;"DAJ101";;-53.060107194;-3.463798145;"1521-ES-B-357";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;"DAG080";;-53.8020895809555;-3.71777617984913;"1521-SA-B-138";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
